,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
12655,0.02864571524690751,0.5671334075156996,0.614961960100268,0.7166181543068852,0.5400189754558727,-0.8933007237397773,-1.1678007040384397,0,1,0,0,0
15502,-1.7194320134610277,1.230419499560813,0.7526066548082507,0.5205803585735235,0.7021865847862153,1.2983790687168428,0.6304047586004478,0,0,0,0,1
2908,1.2205168939114088,-0.4665294380694635,-0.5407788385684833,-0.6697752659695924,-0.5219173049976605,-0.5240992427423294,-1.0759405695614652,0,1,0,0,0
14053,-0.3686446776412596,-0.34780718662531396,-0.044783300741442156,-0.465789992030824,-0.04326129681293989,-0.8655079689683698,-0.817692266975254,0,0,0,0,1
20496,-0.13027044190835935,0.41265696451694134,0.25661111698120964,0.36339690073326036,0.21045254359098312,0.3293699350296437,0.27249687615714147,1,0,0,0,0
1481,-0.05081236333072591,-0.6549265243379788,-0.678423533276466,-0.6194412373353508,-0.647466421898571,-0.09173240999168271,-0.35665838450591025,0,0,0,1,0
18125,-0.448102756218893,0.7266521082978001,0.3159407267691332,0.31482897836688695,0.37000454631922336,1.9031873117537226,1.7803896496471001,1,0,0,0,0
5830,0.5848522652903415,-0.4326087947997065,-0.6523185049697796,-0.5717563681029114,-0.5794606502439111,0.6399855522759993,1.2370282881653736,1,0,0,0,0
17989,-0.9248512276846935,-0.5985449145787881,-0.6333330298376441,-0.8984860276585145,-0.6317727822859571,-1.1335922493675714,-0.22146799791715535,1,0,0,0,0
4861,0.02864571524690751,-0.9721303776173282,-0.7330067742813557,1.1166412239790153,-0.7390126529721514,-1.7742994673175194,2.540410937738151,1,0,0,0,0
20615,-0.448102756218893,-0.714975230666873,-0.7638581713710759,-0.6194412373353508,-0.7913247850141973,-0.7952891529360636,-1.2943250402048385,0,1,0,0,0
11493,-1.3221416205728607,-0.07139978268391556,0.7597262079828015,0.013707859695371775,0.7544987168282613,-1.1581214609650639,1.240494708334316,1,0,0,0,0
12386,-1.4810577777281275,4.136135143979593,3.4865150738357698,0.671582444476248,1.5261026644484394,1.6384192123215637,0.2768299013683195,0,1,0,0,0
2167,0.10810379382454094,0.2412201998833045,0.24237201063210798,0.2070964960269314,0.36477333311501875,-0.5446806198552467,-1.09673909057512,0,1,0,0,0
14562,0.18756187240217437,-0.03564559112930681,-0.06139559148206076,-0.23089785840436344,-0.019720837394019194,-0.23101201060748644,-0.055946434850154145,0,0,0,0,1
17821,-1.1632254634175938,1.5494569011250143,2.055484885751053,1.6182154040535628,2.135539002738275,-0.15589787981430736,1.0992380864499118,1,0,0,0,0
7667,0.8232265010232418,-0.5307036280392741,-0.5075542570872461,-0.26357082435992374,-0.4696051729556146,-0.18195358741250198,-0.42338697275805215,1,0,0,0,0
10779,-0.9248512276846935,-0.599461688721214,-0.3817754843368481,-0.5858852182458565,-0.40683061450515945,-0.8677187562797317,0.6061398174178507,1,0,0,0,0
9390,1.2205168939114088,0.0963698853800178,0.031158599787100026,-0.17085024529684723,0.09798145970058425,0.006963452122690629,1.0429087587045973,0,0,0,1,0
11063,1.061600736756142,-0.7388113583699455,-0.8231877811589995,-0.8322570426134598,-0.8174808510352204,0.12334561272795982,-0.10707613234205504,1,0,0,0,0
13860,-1.7988900920386612,0.9150491945663155,0.5105418468735226,0.3757596446083373,0.5086316962306452,0.16982478405968837,-0.3791901156040361,0,1,0,0,0
1849,1.5383492082219425,-0.2533794499554498,-0.5692570512666866,-0.6538803095587792,-0.5585357974270928,1.8098078667452437,1.0775729603940216,0,0,0,1,0
11789,1.2999749724890424,-0.7924426457018586,-0.8587855470317537,-0.8499181052921411,-0.8096340312289134,-0.8640341107607951,-0.9953463006335537,0,1,0,0,0
6127,0.18756187240217437,-0.640258138059165,-0.6736771644934321,-0.4384153448788681,-0.6683912747153893,-0.2674900012449589,-0.4632508047008901,1,0,0,0,0
11835,-0.3686446776412596,-0.25979686895243087,-0.24175760523734846,-0.4560764075575493,-0.32836241644209047,-0.7043310464114572,-0.5871753257405821,0,1,0,0,0
11893,0.18756187240217437,0.7000656581674501,1.6710290143253077,2.209861003789384,1.5077934182337234,-1.1455936662006794,-1.048209208209926,0,1,0,0,0
20337,-0.2891865990636262,0.46720502599128033,0.016919493437998364,0.3095306595632826,0.11629070591530034,0.9560755000076324,0.2707636660726702,1,0,0,0,0
